source_id,split,variant_id,degradation,severity,severity_name,is_degraded,relative_path
e06b55bf935e76ac,train,e06b55bf935e76ac__clean,none,0,none,0,dataset/generated/train/e06b55bf935e76ac__clean.jpg
e06b55bf935e76ac,train,e06b55bf935e76ac__blur__s3,blur,3,medium,1,dataset/generated/train/e06b55bf935e76ac__blur__s3.jpg
e06b55bf935e76ac,train,e06b55bf935e76ac__motion_blur__s3,motion_blur,3,medium,1,dataset/generated/train/e06b55bf935e76ac__motion_blur__s3.jpg
e06b55bf935e76ac,train,e06b55bf935e76ac__underexposure__s3,underexposure,3,medium,1,dataset/generated/train/e06b55bf935e76ac__underexposure__s3.jpg
e06b55bf935e76ac,train,e06b55bf935e76ac__overexposure__s3,overexposure,3,medium,1,dataset/generated/train/e06b55bf935e76ac__overexposure__s3.jpg
e06b55bf935e76ac,train,e06b55bf935e76ac__noise__s3,noise,3,medium,1,dataset/generated/train/e06b55bf935e76ac__noise__s3.jpg
e06b55bf935e76ac,train,e06b55bf935e76ac__compression__s3,compression,3,medium,1,dataset/generated/train/e06b55bf935e76ac__compression__s3.jpg
974f2af6d81f6562,train,974f2af6d81f6562__clean,none,0,none,0,dataset/generated/train/974f2af6d81f6562__clean.jpg
974f2af6d81f6562,train,974f2af6d81f6562__blur__s3,blur,3,medium,1,dataset/generated/train/974f2af6d81f6562__blur__s3.jpg
974f2af6d81f6562,train,974f2af6d81f6562__motion_blur__s3,motion_blur,3,medium,1,dataset/generated/train/974f2af6d81f6562__motion_blur__s3.jpg
974f2af6d81f6562,train,974f2af6d81f6562__underexposure__s3,underexposure,3,medium,1,dataset/generated/train/974f2af6d81f6562__underexposure__s3.jpg
974f2af6d81f6562,train,974f2af6d81f6562__overexposure__s3,overexposure,3,medium,1,dataset/generated/train/974f2af6d81f6562__overexposure__s3.jpg
974f2af6d81f6562,train,974f2af6d81f6562__noise__s3,noise,3,medium,1,dataset/generated/train/974f2af6d81f6562__noise__s3.jpg
974f2af6d81f6562,train,974f2af6d81f6562__compression__s3,compression,3,medium,1,dataset/generated/train/974f2af6d81f6562__compression__s3.jpg
a044804a0b0186a1,train,a044804a0b0186a1__clean,none,0,none,0,dataset/generated/train/a044804a0b0186a1__clean.jpg
a044804a0b0186a1,train,a044804a0b0186a1__blur__s3,blur,3,medium,1,dataset/generated/train/a044804a0b0186a1__blur__s3.jpg
a044804a0b0186a1,train,a044804a0b0186a1__motion_blur__s3,motion_blur,3,medium,1,dataset/generated/train/a044804a0b0186a1__motion_blur__s3.jpg
a044804a0b0186a1,train,a044804a0b0186a1__underexposure__s3,underexposure,3,medium,1,dataset/generated/train/a044804a0b0186a1__underexposure__s3.jpg
a044804a0b0186a1,train,a044804a0b0186a1__overexposure__s3,overexposure,3,medium,1,dataset/generated/train/a044804a0b0186a1__overexposure__s3.jpg
a044804a0b0186a1,train,a044804a0b0186a1__noise__s3,noise,3,medium,1,dataset/generated/train/a044804a0b0186a1__noise__s3.jpg
a044804a0b0186a1,train,a044804a0b0186a1__compression__s3,compression,3,medium,1,dataset/generated/train/a044804a0b0186a1__compression__s3.jpg
1bb19f0a2a950a94,train,1bb19f0a2a950a94__clean,none,0,none,0,dataset/generated/train/1bb19f0a2a950a94__clean.jpg
1bb19f0a2a950a94,train,1bb19f0a2a950a94__blur__s3,blur,3,medium,1,dataset/generated/train/1bb19f0a2a950a94__blur__s3.jpg
1bb19f0a2a950a94,train,1bb19f0a2a950a94__motion_blur__s3,motion_blur,3,medium,1,dataset/generated/train/1bb19f0a2a950a94__motion_blur__s3.jpg
1bb19f0a2a950a94,train,1bb19f0a2a950a94__underexposure__s3,underexposure,3,medium,1,dataset/generated/train/1bb19f0a2a950a94__underexposure__s3.jpg
1bb19f0a2a950a94,train,1bb19f0a2a950a94__overexposure__s3,overexposure,3,medium,1,dataset/generated/train/1bb19f0a2a950a94__overexposure__s3.jpg
1bb19f0a2a950a94,train,1bb19f0a2a950a94__noise__s3,noise,3,medium,1,dataset/generated/train/1bb19f0a2a950a94__noise__s3.jpg
1bb19f0a2a950a94,train,1bb19f0a2a950a94__compression__s3,compression,3,medium,1,dataset/generated/train/1bb19f0a2a950a94__compression__s3.jpg
4f26c847c2f49574,train,4f26c847c2f49574__clean,none,0,none,0,dataset/generated/train/4f26c847c2f49574__clean.jpg
